note,target_hz,block,elapsed_s,gesture,rms,algorithm,frequency_hz,cents
G4,391.99543598174927,1,0.26141438298509456,free sweep ( 2% of recording),0.0130287641659379,loiacono,459.4804642680621,275.0000000000001
G4,391.99543598174927,1,0.264614054991398,free sweep ( 2% of recording),0.0130287641659379,librosa,469.1489361702128,311.05096415593806
G4,391.99543598174927,2,0.5156578540045302,free sweep ( 6% of recording),0.013030978851020336,loiacono,427.29512243215515,149.27519002324777
G4,391.99543598174927,2,0.519245163013693,free sweep ( 6% of recording),0.013030978851020336,librosa,469.1489361702128,311.05096415593806
G4,391.99543598174927,3,0.7729226310038939,free sweep (10% of recording),0.013041977770626545,loiacono,392.46906816696054,2.0905171899303245
G4,391.99543598174927,3,0.7770047280064318,free sweep (10% of recording),0.013041977770626545,librosa,450.6539139097813,241.41967609011746
G4,391.99543598174927,4,1.0223161830217578,free sweep (15% of recording),0.013068869709968567,loiacono,396.6862194402664,20.593707848163145
G4,391.99543598174927,4,1.025002332025906,free sweep (15% of recording),0.013068869709968567,librosa,410.4375651369109,79.59110640177617
G4,391.99543598174927,5,1.2619098729919642,free sweep (19% of recording),0.013061212375760078,loiacono,396.1309662073823,18.16875168628259
G4,391.99543598174927,5,1.2653444659954403,free sweep (19% of recording),0.013061212375760078,librosa,418.59729099028596,113.67134153036075
G4,391.99543598174927,6,1.514954032987589,free sweep (23% of recording),0.013043289072811604,loiacono,396.7489849493694,20.867609954073096
G4,391.99543598174927,6,1.5191679479903542,free sweep (23% of recording),0.013043289072811604,librosa,415.2551190805902,99.79331534089398
G4,391.99543598174927,7,1.7729058999975678,free sweep (27% of recording),0.013025223277509212,loiacono,374.255824286782,-80.17450674137747
G4,391.99543598174927,7,1.7765999890107196,free sweep (27% of recording),0.013025223277509212,librosa,435.77749714414495,183.30581138395226
G4,391.99543598174927,8,2.016587067017099,free sweep (31% of recording),0.013048081658780575,loiacono,459.4804642680621,275.0000000000001
G4,391.99543598174927,8,2.0199367000022903,free sweep (31% of recording),0.013048081658780575,librosa,469.1489361702128,311.05096415593806
G4,391.99543598174927,9,2.265268343006028,free sweep (35% of recording),0.013064330443739891,loiacono,389.3412024776253,-11.762195361404716
G4,391.99543598174927,9,2.268763558997307,free sweep (35% of recording),0.013064330443739891,librosa,432.7389357744567,171.19209155836228
G4,391.99543598174927,10,2.524660451017553,free sweep (40% of recording),0.013080340810120106,loiacono,388.5114451409191,-15.455709044330293
G4,391.99543598174927,10,2.5274050190055277,free sweep (40% of recording),0.013080340810120106,librosa,398.21969476151753,27.27326057370314
G4,391.99543598174927,11,2.7717634059954435,free sweep (44% of recording),0.013060231693089008,loiacono,390.91017212376346,-4.79967681199004
G4,391.99543598174927,11,2.774872748996131,free sweep (44% of recording),0.013060231693089008,librosa,416.86465729474156,106.49064645554178
G4,391.99543598174927,12,3.012669276999077,free sweep (48% of recording),0.013059399090707302,loiacono,392.74944088571647,3.3268375572469746
G4,391.99543598174927,12,3.015509785996983,free sweep (48% of recording),0.013059399090707302,librosa,409.2911687410915,74.7488172735762
G4,391.99543598174927,13,3.265610414004186,free sweep (52% of recording),0.013058076612651348,loiacono,392.89224768787415,3.9562135301679353
G4,391.99543598174927,13,3.26835590499104,free sweep (52% of recording),0.013058076612651348,librosa,414.8968322692308,98.29894225735983
G4,391.99543598174927,14,3.511868223984493,free sweep (56% of recording),0.013038024306297302,loiacono,394.49682740656584,11.012209039124937
G4,391.99543598174927,14,3.5154229729960207,free sweep (56% of recording),0.013038024306297302,librosa,412.0005771177006,86.17140145122636
G4,391.99543598174927,15,3.7653874959796667,free sweep (60% of recording),0.013031579554080963,loiacono,408.35951055558877,70.8035650731048
G4,391.99543598174927,15,3.768811468995409,free sweep (60% of recording),0.013031579554080963,librosa,409.03981979054004,73.68532614058977
