commit,date,subject,id_mm,od_mm,taper_mm,total_height_mm,acoustic_length_mm,zadj_mm,hole_shift_mm,pitch_raise_cents
WORKTREE,,current working tree,17.5,20.5,0.0,399.26462819306624,393.26462819306624,-8.0,,12.0
168b381fe8ff,2026-07-05,Tune quena hole geometry,17.5,20.5,0.0,399.26462819306624,393.26462819306624,-8.0,,12.0
a36f6253471d,2026-07-02,idk latest,17.5,20.5,0.0,399.26462819306624,393.26462819306624,-8.0,,12.0
bd0c2fdb3795,2026-03-27,this could be it,17.5,20.5,0.0,402.0,396.0,-8.0,,
16cba21cebad,2025-11-25,"characterizes the frequencies; evidently PETG runs much flatter, or expends sightly less on the bambu",17.5,22.0,0.0,402.0,396.0,-8.0,,
758b31e8172c,2025-11-24,as printed,17.5,22.0,0.0,402.0,396.0,-8.0,,
f21b7683feca,2025-11-23,latest,17.5,22.0,0.0,406.0,400.0,-4.5,,
f81aa0ac8148,2025-10-19,"4-parter, as printed",17.5,22.0,0.0,410.5,404.5,,,
d5c29dc21272,2025-05-08,"another fipple, as printed",17.5,22.0,0.0,418.5,404.5,,,
857dfc407a50,2025-05-05,"first fipple ""eurasian synergy"" edition, as printed",17.5,22.0,0.0,418.5,404.5,,,
0a7c3d21657f,2025-04-10,8C as printed at the Node,17.5,22.0,0.0,408.5,,,2.25,
85a2af4a2b9c,2025-04-10,major fixes. battery might die?,17.5,22.0,0.0,408.5,,,2.25,
dd2c7fc5a4d2,2025-04-10,still broke :),17.5,22.0,0.0,408.5,,,2.25,
5957fbcd9ff8,2025-04-10,tried to fix it. broke it instead,17.5,22.0,0.0,408.5,,,2.25,
48b2fec16775,2025-04-06,attempted revert and F# correction of Print #8,17.5,22.0,0.0,411.5,,,3.75,
6ffa3e2bb7c2,2025-04-06,adds tuning plot with extension,17.5,22.0,0.0,411.5,,,3.75,
a3509579bad8,2025-03-31,i started making parts that can modify the fife in post,17.5,22.0,0.0,411.5,,,3.75,
ee1422b493cd,2025-03-27,mild tuning adjustments,17.5,22.0,0.0,411.5,,,3.75,
1e38b473e551,2025-03-12,Update Quena.scad,17.5,22.0,0.0,411.5,,,3.75,
48234cc1ddbe,2025-03-11,"removes quena taper, adds low whistle draft",17.5,22.0,0.0,411.5,,,3.75,
63b9f1160831,2025-03-08,10 as printed,17.5,22.0,8.0,411.5,,,3.75,
ee7a0e1f02a1,2025-03-07,"10, with taper",17.5,22.0,8.0,411.5,,,3.75,
3f43ea68ba34,2025-03-04,Merge branch 'master' of https://github.com/juliancoy/AgnuQuena,17.5,22.0,,411.5,,,3.75,
32f1db7cfb82,2025-03-04,9,17.5,22.0,,411.5,,,3.75,
c3ec024911fb,2025-03-04,Update Quena.scad,17.5,22.0,,413.0,,,4.5,
52d679c541dd,2025-02-28,8,17.5,22.0,,413.0,,,4.5,
de958993372a,2025-02-27,adds epsilon for easier viewing,17.5,22.0,,413.0,,,4.5,
4b80b3309be8,2024-12-15,6,17.5,22.0,,416.0,,,6.0,
cfb02d4699ad,2024-12-12,mild adj for tuning and playability. print #5,17.5,22.0,,417.0,,,8.5,
ea182a4886a9,2024-12-10,4th attempt. increased bezel angle slightly. retuned holes mildly,17.5,22.0,,415.0,,,7.5,
21884fb8143a,2024-12-10,now tuned to G,17.5,22.0,,415.0,,,7.5,
ad8991287789,2020-05-12,Add files via upload,17.5,21.0,,400.0,,,,
