commit,date,subject,dataset,note,expected_hz,actual_hz,cents,hole_z_mm,hole_diameter_mm
WORKTREE,,current working tree,Quena.scad comment,G,392.0,383.0,-40.21,,
WORKTREE,,current working tree,Quena.scad comment,A,440.0,428.0,-47.87,307.6376,10.0000
WORKTREE,,current working tree,Quena.scad comment,B,493.88,470.0,-85.80,273.1277,10.0000
WORKTREE,,current working tree,Quena.scad comment,C,523.0,505.0,-60.63,247.8038,9.5000
WORKTREE,,current working tree,Quena.scad comment,D,587.33,564.0,-70.17,212.7973,11.0000
WORKTREE,,current working tree,Quena.scad comment,E,659.25,630.0,-78.57,181.5149,11.0000
WORKTREE,,current working tree,Quena.scad comment,F#,740.0,714.0,-61.92,154.7014,10.8800
WORKTREE,,current working tree,Quena.scad comment,G,784.0,766.0,-40.21,,
bd0c2fdb3795,2026-03-27,this could be it,Quena.scad comment,G,392.0,383.0,-40.21,,
bd0c2fdb3795,2026-03-27,this could be it,Quena.scad comment,A,440.0,428.0,-47.87,310.0000,10.0000
bd0c2fdb3795,2026-03-27,this could be it,Quena.scad comment,B,493.88,470.0,-85.80,275.2500,10.0000
bd0c2fdb3795,2026-03-27,this could be it,Quena.scad comment,C,523.0,505.0,-60.63,249.7500,9.5000
bd0c2fdb3795,2026-03-27,this could be it,Quena.scad comment,D,587.33,564.0,-70.17,214.5000,11.0000
bd0c2fdb3795,2026-03-27,this could be it,Quena.scad comment,E,659.25,630.0,-78.57,183.0000,11.0000
bd0c2fdb3795,2026-03-27,this could be it,Quena.scad comment,F#,740.0,714.0,-61.92,156.0000,10.8800
bd0c2fdb3795,2026-03-27,this could be it,Quena.scad comment,G,784.0,766.0,-40.21,,
16cba21cebad,2025-11-25,"characterizes the frequencies; evidently PETG runs much flatter, or expends sightly less on the bambu",Quena.scad comment,G,392.0,383.0,-40.21,,
16cba21cebad,2025-11-25,"characterizes the frequencies; evidently PETG runs much flatter, or expends sightly less on the bambu",Quena.scad comment,A,440.0,428.0,-47.87,310.0000,10.0000
16cba21cebad,2025-11-25,"characterizes the frequencies; evidently PETG runs much flatter, or expends sightly less on the bambu",Quena.scad comment,B,493.88,470.0,-85.80,275.2500,10.0000
16cba21cebad,2025-11-25,"characterizes the frequencies; evidently PETG runs much flatter, or expends sightly less on the bambu",Quena.scad comment,C,523.0,505.0,-60.63,249.7500,9.5000
16cba21cebad,2025-11-25,"characterizes the frequencies; evidently PETG runs much flatter, or expends sightly less on the bambu",Quena.scad comment,D,587.33,564.0,-70.17,214.5000,11.0000
16cba21cebad,2025-11-25,"characterizes the frequencies; evidently PETG runs much flatter, or expends sightly less on the bambu",Quena.scad comment,E,659.25,630.0,-78.57,183.0000,11.0000
16cba21cebad,2025-11-25,"characterizes the frequencies; evidently PETG runs much flatter, or expends sightly less on the bambu",Quena.scad comment,F#,740.0,714.0,-61.92,156.0000,10.8800
16cba21cebad,2025-11-25,"characterizes the frequencies; evidently PETG runs much flatter, or expends sightly less on the bambu",Quena.scad comment,G,784.0,766.0,-40.21,,
758b31e8172c,2025-11-24,as printed,Quena.scad comment,G,392.0,386.0,-26.70,,
758b31e8172c,2025-11-24,as printed,Quena.scad comment,A,440.0,434.0,-23.77,310.0000,10.0000
758b31e8172c,2025-11-24,as printed,Quena.scad comment,B,493.88,478.0,-56.58,275.2500,10.0000
758b31e8172c,2025-11-24,as printed,Quena.scad comment,C,523.0,514.0,-30.05,249.7500,9.5000
758b31e8172c,2025-11-24,as printed,Quena.scad comment,D,587.33,580.0,-21.74,214.5000,11.0000
758b31e8172c,2025-11-24,as printed,Quena.scad comment,E,659.25,654.0,-13.84,183.0000,11.0000
758b31e8172c,2025-11-24,as printed,Quena.scad comment,F#,740.0,731.0,-21.18,156.0000,10.8800
758b31e8172c,2025-11-24,as printed,Quena.scad comment,G,784.0,778.0,-13.30,,
f21b7683feca,2025-11-23,latest,Quena.scad comment,G,392.0,386.0,-26.70,,
f21b7683feca,2025-11-23,latest,Quena.scad comment,A,440.0,434.0,-23.77,313.5000,10.0000
f21b7683feca,2025-11-23,latest,Quena.scad comment,B,493.88,478.0,-56.58,278.7500,10.0000
f21b7683feca,2025-11-23,latest,Quena.scad comment,C,523.0,514.0,-30.05,253.2500,9.5000
f21b7683feca,2025-11-23,latest,Quena.scad comment,D,587.33,580.0,-21.74,218.0000,11.0000
f21b7683feca,2025-11-23,latest,Quena.scad comment,E,659.25,654.0,-13.84,186.5000,11.0000
f21b7683feca,2025-11-23,latest,Quena.scad comment,F#,740.0,731.0,-21.18,159.5000,10.8800
f21b7683feca,2025-11-23,latest,Quena.scad comment,G,784.0,778.0,-13.30,,
f81aa0ac8148,2025-10-19,"4-parter, as printed",Quena.scad comment,G,392.0,386.0,-26.70,,
f81aa0ac8148,2025-10-19,"4-parter, as printed",Quena.scad comment,A,440.0,434.0,-23.77,318.0000,10.0000
f81aa0ac8148,2025-10-19,"4-parter, as printed",Quena.scad comment,B,493.88,478.0,-56.58,283.2500,10.0000
f81aa0ac8148,2025-10-19,"4-parter, as printed",Quena.scad comment,C,523.0,514.0,-30.05,257.7500,9.5000
f81aa0ac8148,2025-10-19,"4-parter, as printed",Quena.scad comment,D,587.33,580.0,-21.74,222.5000,11.0000
f81aa0ac8148,2025-10-19,"4-parter, as printed",Quena.scad comment,E,659.25,654.0,-13.84,191.0000,11.0000
f81aa0ac8148,2025-10-19,"4-parter, as printed",Quena.scad comment,F#,740.0,731.0,-21.18,164.0000,10.8800
f81aa0ac8148,2025-10-19,"4-parter, as printed",Quena.scad comment,G,784.0,778.0,-13.30,,
d5c29dc21272,2025-05-08,"another fipple, as printed",Quena.scad comment,G,392.0,386.0,-26.70,,
d5c29dc21272,2025-05-08,"another fipple, as printed",Quena.scad comment,A,440.0,434.0,-23.77,319.5000,10.0000
d5c29dc21272,2025-05-08,"another fipple, as printed",Quena.scad comment,B,493.88,478.0,-56.58,284.7500,10.0000
d5c29dc21272,2025-05-08,"another fipple, as printed",Quena.scad comment,C,523.0,514.0,-30.05,259.2500,9.5000
d5c29dc21272,2025-05-08,"another fipple, as printed",Quena.scad comment,D,587.33,580.0,-21.74,224.0000,11.0000
